
left top right bottom
right=left+width
bottom=top+height

//dong 1
3 9 40 59
47 11 88 58
95 96 135 58
143 3 187 58
197 6 238 57
250 5 192 56
303 2 347 55
373 24 380 31
394 23 401 33
414 18 434 36
444 16 473 38
485 14 516 39
532 13 562 40
//dong 2
6 83 46 135
51 81 112 134
116 80 178 134
180 81 221 134
228 81 267 134
275 81 311 134
319 81 359 134
366 79 407 134
417 61 460 134
465 57 507 134
516 63 558 134
568 72 610 134
619 80 660 134
668 80 708 134
715 81 754 134
//dong 3
3 165 39 218
46 165 86 218
91 163 132 218
140 155 178 218
188 151 229 218
238 159 289 217
287 168 325 217
334 168 373 217
378 168 417 217
425 156 463 217
472 150 510 217
519 143 555 217
568 138 607 217
615 155 657 217
666 163 707 217
715 163 755 217
762 164 801 217
//dong 4
7 235 50 291
57 232 98 291
109 233 147 291
163 231 209 291
221 233 258 291
268 239 307 291
//dong 5
5 337 50 388
54 326 105 388
115 314 160 388
171 324 253 388
260 335 311 388
//dong 6
11 420 53 473
66 413 104 473
111 412 176 473
193 415 240 473
249 418 296 472
298 424 352 472
363 401 437 472
452 391 506 472
520 401 569 472
584 405 635 472
644 415 697 472
704 418 750 472
//dong 7
11 496 50 549
59 490 104 549
111 491 160 549
205 500 247 549
258 509 306 549
315 519 369 549
378 516 431 551
//dong 8
9 571 46 615
58 567 95 615
107 571 157 619
164 578 246 615
256 579 313 616
//dong 9
9 640 56  673
64 642 109 673
115 640 186 673
193 639 285 673
298 640 382 673
392 640 463 673
475 642 520 673
//dong 10
10 705 51 747
66 683 111 759
124 686 181 743
199 698 257 740
273 696 334 744
350 692 408 745
419 688 472 746
491 680 541 765
560 719 619 763
//dong 11
8 846 67 889
75 828 127 890
137 829 191 890
203 824 257 893
269 820 320 894
336 829 377 895
390 818 425 897
448 808 382 901
504 810 538 903
564 812 598 905
//dong 12
5 901 69 984
87 911 141 976
145 942 212 979
215 949 279 978
288 950 356 980
366 948 442 982
451 935 537 982
549 928 635 983
644 925 740 986
748 925 844 986
853 926 955 986
968 928 1070 978
//dong 13
19 1005 68 1060
77 1007 120 1059
132 1008 171 1061
185 1008 237 1061
253 1012 293 1064
//dong14
13 1077 65 1131
75 1075 125 1127
140 1067 187 1133
199 1078 251 1134
266 1070 349 1130
361 1087 408 1142
//dong 15
12 1154 61 1208
76 1162 113 1194
135 1160 179 1194
190 1160 228 1200
252 1165 290 1196
306 1158 343 1196
362 1161 401 1196
417 1156 460 1198
//dong 16
14 1225 54 1273
66 1222 109 1273
120 1220 161 1273
171 1216 212 1273
220 1216 272 1273
279 1219 325 1273
334 1215 376 1273
386 1221 427 1273
440 1219 475 1273
488 1216 537 1273
547 1215 602 1273
611 1219 666 1274
679 1218 723 1275
//dong 17
11 1293 68 1350
83 1294 127 1350
134 1284 185 1350
200 1283 246 1348
256 1285 298 1349
309 1306 364 1352
376 1308 428 1352
437 1300 483 1352
498 1294 549 1351


